country,nuts_2,cases,hospitalized,intensive_care,datetime
AT,Burgenland,228,12.0,6,2020-04-05T09:30:00
AT,Kärnten,319,35.0,13,2020-04-05T09:30:00
AT,Vorarlberg,746,45.0,12,2020-04-05T09:30:00
AT,Salzburg,1079,90.0,14,2020-04-05T09:30:00
AT,Steiermark,1312,138.0,28,2020-04-05T09:30:00
AT,Wien,1704,192.0,42,2020-04-05T09:30:00
AT,Niederösterreich,1903,212.0,43,2020-04-05T09:30:00
AT,Oberösterreich,1953,136.0,32,2020-04-05T09:30:00
AT,Tirol,2739,196.0,54,2020-04-05T09:30:00
AT,,11983,1.056,244,2020-04-05T09:30:00
