country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Schaffhausen,SH,78.0,6.0,,2.0,3.0,2020-05-18
CH,Obwalden,OW,79.0,0.0,,0.0,,2020-05-18
CH,Uri,UR,93.0,7.0,,5.0,,2020-05-18
CH,Appenzell Ausserrhoden,AR,99.0,3.0,,0.0,1.0,2020-05-18
CH,Nidwalden,NW,123.0,3.0,,0.0,0.0,2020-05-18
CH,Glarus,GL,128.0,12.0,,2.0,,2020-05-18
CH,Jura,JU,197.0,7.0,,2.0,2.0,2020-05-18
CH,Zug,ZG,199.0,8.0,,0.0,0.0,2020-05-18
CH,Schwyz,SZ,307.0,23.0,,,,2020-05-18
CH,Thurgau,TG,377.0,18.0,,1.0,4.0,2020-05-18
CH,Solothurn,SO,432.0,16.0,,,,2020-05-18
CH,Lucerne,LU,707.0,20.0,,6.0,4.0,2020-05-18
CH,Neuchâtel,NE,719.0,83.0,,9.0,2.0,2020-05-18
CH,St. Gallen,SG,790.0,36.0,,7.0,1.0,2020-05-18
CH,Grisons,GR,824.0,49.0,,2.0,2.0,2020-05-18
CH,Basel-Landschaft,BL,875.0,35.0,,3.0,0.0,2020-05-18
CH,Basel-Stadt,BS,974.0,50.0,,9.0,3.0,2020-05-18
CH,Fribourg,FR,1152.0,84.0,,12.0,4.0,2020-05-18
CH,Aargau,AG,1188.0,46.0,,6.0,1.0,2020-05-18
CH,Berne,BE,1863.0,96.0,,27.0,2.0,2020-05-18
CH,Valais,VS,1901.0,153.0,,19.0,7.0,2020-05-18
CH,Ticino,TI,3285.0,343.0,,51.0,5.0,2020-05-18
CH,Zürich,ZH,3553.0,130.0,,21.0,12.0,2020-05-18
CH,Geneva,GE,5309.0,277.0,32337.0,12.0,4.0,2020-05-18
CH,Vaud,VD,5419.0,300.0,,41.0,12.0,2020-05-18
CH,,,30696.0,1805.0,32979.0,245.0,69.0,2020-05-18
CH,Appenzell Innerrhoden,AI,,,,,,2020-05-18
