country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,1228.0,15.0,,1.0,,2021-06-15
CH,Obwalden,OW,2584.0,39.0,,3.0,,2021-06-15
CH,Nidwalden,NW,2732.0,23.0,,0.0,0.0,2021-06-15
CH,Glarus,GL,2793.0,78.0,,2.0,0.0,2021-06-15
CH,Uri,UR,3260.0,50.0,,0.0,,2021-06-15
CH,Schaffhausen,SH,4787.0,78.0,,2.0,1.0,2021-06-15
CH,Jura,JU,7107.0,124.0,,4.0,2.0,2021-06-15
CH,Zug,ZG,8425.0,121.0,,0.0,1.0,2021-06-15
CH,Schwyz,SZ,12211.0,237.0,,,,2021-06-15
CH,Basel-Stadt,BS,12929.0,205.0,,10.0,3.0,2021-06-15
CH,Grisons,GR,13548.0,192.0,,4.0,0.0,2021-06-15
CH,Neuchâtel,NE,17322.0,404.0,,5.0,0.0,2021-06-15
CH,Solothurn,SO,17892.0,,,0.0,0.0,2021-06-15
CH,Basel-Landschaft,BL,18182.0,218.0,,0.0,0.0,2021-06-15
CH,Thurgau,TG,18917.0,453.0,,4.0,4.0,2021-06-15
CH,Lucerne,LU,28845.0,,,17.0,,2021-06-15
CH,Fribourg,FR,32464.0,486.0,,8.0,2.0,2021-06-15
CH,Ticino,TI,33179.0,995.0,,1.0,0.0,2021-06-15
CH,Valais,VS,38025.0,671.0,,5.0,5.0,2021-06-15
CH,St. Gallen,SG,42708.0,712.0,,12.0,3.0,2021-06-15
CH,Aargau,AG,47734.0,704.0,,10.0,4.0,2021-06-15
CH,Geneva,GE,58802.0,745.0,,7.0,0.0,2021-06-15
CH,Berne,BE,65551.0,1100.0,,12.0,8.0,2021-06-15
CH,Vaud,VD,84190.0,1017.0,,30.0,11.0,2021-06-15
CH,Zürich,ZH,112366.0,1413.0,,24.0,23.0,2021-06-15
CH,,,690648.0,10734.0,410173.0,198.0,83.0,2021-06-15
CH,Appenzell Ausserrhoden,AR,,,,,,2021-06-15
