country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,1238.0,15.0,,,,2021-07-14
CH,Obwalden,OW,2612.0,39.0,,1.0,,2021-07-14
CH,Nidwalden,NW,2750.0,23.0,,0.0,0.0,2021-07-14
CH,Glarus,GL,2838.0,78.0,,0.0,0.0,2021-07-14
CH,Schaffhausen,SH,4834.0,78.0,,0.0,0.0,2021-07-14
CH,Jura,JU,7149.0,109.0,,0.0,0.0,2021-07-14
CH,Zug,ZG,8602.0,121.0,,0.0,0.0,2021-07-14
CH,Schwyz,SZ,12456.0,238.0,,,,2021-07-14
CH,Basel-Stadt,BS,13064.0,205.0,,1.0,3.0,2021-07-14
CH,Grisons,GR,13731.0,192.0,,1.0,0.0,2021-07-14
CH,Neuchâtel,NE,17394.0,404.0,,1.0,1.0,2021-07-14
CH,Solothurn,SO,18032.0,,,,,2021-07-14
CH,Basel-Landschaft,BL,18354.0,219.0,,1.0,0.0,2021-07-14
CH,Thurgau,TG,19053.0,457.0,,3.0,0.0,2021-07-14
CH,Lucerne,LU,29117.0,,,9.0,,2021-07-14
CH,Fribourg,FR,32647.0,491.0,,3.0,0.0,2021-07-14
CH,Ticino,TI,33438.0,995.0,,5.0,0.0,2021-07-14
CH,Valais,VS,38315.0,672.0,,3.0,2.0,2021-07-14
CH,St. Gallen,SG,43115.0,717.0,,2.0,2.0,2021-07-14
CH,Aargau,AG,48098.0,704.0,,2.0,2.0,2021-07-14
CH,Geneva,GE,59255.0,745.0,,4.0,0.0,2021-07-14
CH,Berne,BE,66013.0,1102.0,,2.0,3.0,2021-07-14
CH,Zürich,ZH,113524.0,1419.0,,3.0,7.0,2021-07-14
CH,,,697387.0,10747.0,412970.0,101.0,41.0,2021-07-14
CH,Appenzell Ausserrhoden,AR,,,,,,2021-07-14
CH,Uri,UR,,,,,,2021-07-14
CH,Vaud,VD,,,,,,2021-07-14
