country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Uri,UR,1094.0,30.0,,8.0,,2020-12-12
CH,Nidwalden,NW,1124.0,11.0,,3.0,0.0,2020-12-12
CH,Obwalden,OW,1166.0,26.0,,5.0,,2020-12-12
CH,Zug,ZG,3961.0,47.0,,21.0,4.0,2020-12-12
CH,Jura,JU,3975.0,103.0,,13.0,1.0,2020-12-12
CH,Schwyz,SZ,6029.0,116.0,,,,2020-12-12
CH,Grisons,GR,6401.0,114.0,,37.0,8.0,2020-12-12
CH,Basel-Stadt,BS,6622.0,106.0,,121.0,18.0,2020-12-12
CH,Basel-Landschaft,BL,8542.0,103.0,,58.0,8.0,2020-12-12
CH,Thurgau,TG,8967.0,144.0,,62.0,21.0,2020-12-12
CH,Neuchâtel,NE,10574.0,283.0,,75.0,6.0,2020-12-12
CH,Lucerne,LU,13064.0,151.0,,,,2020-12-12
CH,Ticino,TI,18735.0,640.0,,300.0,39.0,2020-12-12
CH,Fribourg,FR,21797.0,376.0,,69.0,16.0,2020-12-12
CH,Aargau,AG,21860.0,276.0,,,,2020-12-12
CH,St. Gallen,SG,22057.0,,,,,2020-12-12
CH,Valais,VS,23982.0,565.0,,80.0,22.0,2020-12-12
CH,Berne,BE,34560.0,497.0,,,,2020-12-12
CH,Geneva,GE,38370.0,609.0,,182.0,19.0,2020-12-12
CH,Vaud,VD,52287.0,736.0,,352.0,69.0,2020-12-12
CH,Zürich,ZH,54719.0,622.0,,398.0,91.0,2020-12-12
CH,,,373898.0,6129.0,237692.0,2536.0,471.0,2020-12-12
CH,Appenzell Innerrhoden,AI,,,,,,2020-12-12
CH,Appenzell Ausserrhoden,AR,,,,,,2020-12-12
CH,Glarus,GL,,,,-1.0,1.0,2020-12-12
CH,Schaffhausen,SH,,,,,,2020-12-12
CH,Solothurn,SO,,,,,,2020-12-12
