country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,853.0,8.0,,4.0,3.0,2020-11-22
CH,Obwalden,OW,870.0,15.0,,9.0,,2020-11-22
CH,Zug,ZG,2982.0,27.0,,18.0,5.0,2020-11-22
CH,Jura,JU,3531.0,80.0,,31.0,5.0,2020-11-22
CH,Grisons,GR,4449.0,86.0,,41.0,10.0,2020-11-22
CH,Schwyz,SZ,4614.0,91.0,,,,2020-11-22
CH,Basel-Stadt,BS,4707.0,67.0,,113.0,24.0,2020-11-22
CH,Basel-Landschaft,BL,5551.0,63.0,,74.0,7.0,2020-11-22
CH,Thurgau,TG,5882.0,87.0,,47.0,22.0,2020-11-22
CH,Neuchâtel,NE,9092.0,198.0,,128.0,17.0,2020-11-22
CH,Lucerne,LU,9266.0,79.0,,,,2020-11-22
CH,Ticino,TI,14129.0,491.0,,339.0,35.0,2020-11-22
CH,Aargau,AG,14843.0,162.0,,,,2020-11-22
CH,St. Gallen,SG,15198.0,215.0,,127.0,34.0,2020-11-22
CH,Fribourg,FR,19444.0,312.0,,133.0,23.0,2020-11-22
CH,Valais,VS,21498.0,470.0,,182.0,37.0,2020-11-22
CH,Berne,BE,25671.0,313.0,,,,2020-11-22
CH,Geneva,GE,35020.0,525.0,,432.0,29.0,2020-11-22
CH,Zürich,ZH,39863.0,356.0,,304.0,72.0,2020-11-22
CH,Vaud,VD,46005.0,557.0,,539.0,102.0,2020-11-22
CH,,,293642.0,4338.0,236687.0,3185.0,556.0,2020-11-22
CH,Appenzell Innerrhoden,AI,,,,,,2020-11-22
CH,Appenzell Ausserrhoden,AR,,,,,,2020-11-22
CH,Glarus,GL,,,6628.0,-3.0,3.0,2020-11-22
CH,Schaffhausen,SH,,,,,,2020-11-22
CH,Solothurn,SO,,,,,,2020-11-22
CH,Uri,UR,,,,,,2020-11-22
