country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,937.0,,,,2020-04-20
BE,Wallonia,BrabantWallon,1096.0,,50.0,12.0,2020-04-20
BE,Wallonia,Luxembourg,1174.0,,93.0,23.0,2020-04-20
BE,Wallonia,Namur,1580.0,,195.0,43.0,2020-04-20
BE,Flanders,VlaamsBrabant,4148.0,,248.0,56.0,2020-04-20
BE,Brussels,Brussels,4448.0,,802.0,183.0,2020-04-20
BE,Flanders,WestVlaanderen,4728.0,,603.0,110.0,2020-04-20
BE,Wallonia,Hainaut,4892.0,,721.0,121.0,2020-04-20
BE,Flanders,Limburg,4930.0,,376.0,84.0,2020-04-20
BE,Flanders,OostVlaanderen,5108.0,,617.0,143.0,2020-04-20
BE,Flanders,Antwerpen,5249.0,,789.0,176.0,2020-04-20
BE,Wallonia,Liège,5376.0,,502.0,128.0,2020-04-20
BE,Flanders,,,13.0,,,2020-04-20
