country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,Wallonia,Luxembourg,1746.0,,0.0,0.0,2020-08-16
BE,Wallonia,BrabantWallon,1896.0,,2.0,0.0,2020-08-16
BE,MISSING,MISSING,1932.0,,,,2020-08-16
BE,Wallonia,Namur,2870.0,,15.0,1.0,2020-08-16
BE,Flanders,VlaamsBrabant,6448.0,,11.0,4.0,2020-08-16
BE,Flanders,Limburg,7491.0,,14.0,5.0,2020-08-16
BE,Flanders,WestVlaanderen,8085.0,,19.0,2.0,2020-08-16
BE,Wallonia,Hainaut,8213.0,,23.0,2.0,2020-08-16
BE,Flanders,OostVlaanderen,8254.0,,23.0,4.0,2020-08-16
BE,Wallonia,Liège,8652.0,,38.0,11.0,2020-08-16
BE,Brussels,Brussels,8847.0,,92.0,21.0,2020-08-16
BE,Flanders,Antwerpen,14388.0,,100.0,36.0,2020-08-16
