country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,61674.0,,,,2022-10-12
BE,Wallonia,Luxembourg,122577.0,,0.0,0.0,2022-10-12
BE,Wallonia,BrabantWallon,168709.0,,0.0,0.0,2022-10-12
BE,Wallonia,Namur,197392.0,,0.0,0.0,2022-10-12
BE,Flanders,Limburg,338898.0,,0.0,0.0,2022-10-12
BE,Wallonia,Liège,411871.0,,0.0,0.0,2022-10-12
BE,Flanders,VlaamsBrabant,448800.0,,0.0,0.0,2022-10-12
BE,Flanders,WestVlaanderen,485058.0,,0.0,0.0,2022-10-12
BE,Brussels,Brussels,493310.0,,0.0,0.0,2022-10-12
BE,Wallonia,Hainaut,503800.0,,0.0,0.0,2022-10-12
BE,Flanders,OostVlaanderen,621052.0,,0.0,0.0,2022-10-12
BE,Flanders,Antwerpen,739925.0,,0.0,0.0,2022-10-12
