country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,1231.0,,,,2020-05-20
BE,Wallonia,Luxembourg,1371.0,,25.0,2.0,2020-05-20
BE,Wallonia,BrabantWallon,1403.0,,13.0,3.0,2020-05-20
BE,Wallonia,Namur,2226.0,,68.0,12.0,2020-05-20
BE,Flanders,VlaamsBrabant,5197.0,,35.0,11.0,2020-05-20
BE,Brussels,Brussels,5729.0,,268.0,51.0,2020-05-20
BE,Flanders,Limburg,6113.0,,109.0,21.0,2020-05-20
BE,Wallonia,Hainaut,6318.0,,197.0,26.0,2020-05-20
BE,Flanders,WestVlaanderen,6334.0,,226.0,40.0,2020-05-20
BE,Flanders,OostVlaanderen,6370.0,,138.0,32.0,2020-05-20
BE,Wallonia,Liège,6651.0,,116.0,24.0,2020-05-20
BE,Flanders,Antwerpen,7749.0,,253.0,55.0,2020-05-20
BE,Flanders,,,2555.0,,,2020-05-20
