"YEAR_WEEK","REGION","CASES_PER_100","NEW_IN_PER_100","PART_RATE_PERCENT","DEATHS_PER_100"
"20W11","Belgium",NA,NA,NA,0
"20W11","Brussels",NA,NA,NA,0.02
"20W11","Flanders",NA,NA,NA,0
"20W11","German speaking community",NA,NA,NA,0
"20W11","Wallonia",NA,NA,NA,0
"20W12","Belgium",NA,NA,NA,0.06
"20W12","Brussels",NA,NA,NA,0.1
"20W12","Flanders",NA,NA,NA,0.06
"20W12","German speaking community",NA,NA,NA,0
"20W12","Wallonia",NA,NA,NA,0.06
"20W13","Belgium",NA,NA,NA,0.22
"20W13","Brussels",NA,NA,NA,0.34
"20W13","Flanders",NA,NA,NA,0.19
"20W13","German speaking community",NA,NA,NA,0.7
"20W13","Wallonia",NA,NA,NA,0.23
"20W14","Belgium",NA,NA,NA,0.64
"20W14","Brussels",NA,NA,NA,1.7
"20W14","Flanders",NA,NA,NA,0.52
"20W14","German speaking community",NA,NA,NA,1.26
"20W14","Wallonia",NA,NA,NA,0.59
"20W15","Belgium",NA,NA,NA,1.01
"20W15","Brussels",NA,NA,NA,1.94
"20W15","Flanders",NA,NA,NA,0.82
"20W15","German speaking community",NA,NA,NA,0.85
"20W15","Wallonia",NA,NA,NA,1.12
"20W16","Belgium",NA,NA,NA,0.83
"20W16","Brussels",NA,NA,NA,1.5
"20W16","Flanders",NA,NA,NA,0.71
"20W16","German speaking community",NA,NA,NA,1
"20W16","Wallonia",NA,NA,NA,0.87
"20W17","Belgium",NA,NA,NA,0.58
"20W17","Brussels",NA,NA,NA,0.97
"20W17","Flanders",NA,NA,NA,0.51
"20W17","German speaking community",NA,NA,NA,0.58
"20W17","Wallonia",NA,NA,NA,0.62
"20W18","Belgium",NA,NA,NA,0.34
"20W18","Brussels",NA,NA,NA,0.48
"20W18","Flanders",NA,NA,NA,0.3
"20W18","German speaking community",NA,NA,NA,0.44
"20W18","Wallonia",NA,NA,NA,0.36
"20W19","Belgium",NA,NA,NA,0.26
"20W19","Brussels",NA,NA,NA,0.38
"20W19","Flanders",NA,NA,NA,0.27
"20W19","German speaking community",NA,NA,NA,0.15
"20W19","Wallonia",NA,NA,NA,0.23
"20W20","Belgium",0.3,0.06,98,0.14
"20W20","Brussels",0.92,0.03,94,0.24
"20W20","Flanders",0.24,0.03,98,0.13
"20W20","German speaking community",0.14,0.14,100,0
"20W20","Wallonia",0.24,0.11,98,0.14
