"DATE","REGION","AGEGROUP","SEX","BRAND","DOSE","COUNT"
2020-12-28,"Brussels","18-34","F","Pfizer-BioNTech","A",1
2020-12-28,"Brussels","45-54","F","Pfizer-BioNTech","A",2
2020-12-28,"Brussels","55-64","F","Pfizer-BioNTech","A",3
2020-12-28,"Brussels","55-64","M","Pfizer-BioNTech","A",1
2020-12-28,"Brussels","65-74","F","Pfizer-BioNTech","A",2
2020-12-28,"Brussels","65-74","M","Pfizer-BioNTech","A",2
2020-12-28,"Brussels","75-84","F","Pfizer-BioNTech","A",2
2020-12-28,"Brussels","75-84","M","Pfizer-BioNTech","A",1
2020-12-28,"Brussels","85+","F","Pfizer-BioNTech","A",38
2020-12-28,"Brussels","85+","M","Pfizer-BioNTech","A",4
2020-12-28,"Flanders","18-34","F","Moderna","A",1
2020-12-28,"Flanders","18-34","F","Pfizer-BioNTech","A",5
2020-12-28,"Flanders","18-34","M","Pfizer-BioNTech","A",2
2020-12-28,"Flanders","45-54","F","Moderna","A",1
2020-12-28,"Flanders","45-54","F","Pfizer-BioNTech","A",4
2020-12-28,"Flanders","45-54","M","Pfizer-BioNTech","A",1
2020-12-28,"Flanders","55-64","F","Pfizer-BioNTech","A",5
2020-12-28,"Flanders","55-64","M","Pfizer-BioNTech","A",4
2020-12-28,"Flanders","65-74","F","Pfizer-BioNTech","A",7
2020-12-28,"Flanders","65-74","M","Pfizer-BioNTech","A",4
2020-12-28,"Flanders","75-84","F","Pfizer-BioNTech","A",17
2020-12-28,"Flanders","75-84","M","Pfizer-BioNTech","A",9
2020-12-28,"Flanders","85+","F","Pfizer-BioNTech","A",50
2020-12-28,"Flanders","85+","M","Pfizer-BioNTech","A",19
2020-12-28,NA,"55-64","M","Moderna","A",1
2020-12-28,NA,"55-64","M","Pfizer-BioNTech","A",1
2020-12-28,NA,"65-74","F","Pfizer-BioNTech","A",1
2020-12-28,"Wallonia","18-34","F","Pfizer-BioNTech","A",9
2020-12-28,"Wallonia","18-34","M","Pfizer-BioNTech","A",3
2020-12-28,"Wallonia","35-44","F","Pfizer-BioNTech","A",15
2020-12-28,"Wallonia","35-44","M","Pfizer-BioNTech","A",5
2020-12-28,"Wallonia","45-54","F","Pfizer-BioNTech","A",12
2020-12-28,"Wallonia","45-54","M","Pfizer-BioNTech","A",3
2020-12-28,"Wallonia","55-64","F","Pfizer-BioNTech","A",15
2020-12-28,"Wallonia","55-64","M","Pfizer-BioNTech","A",13
2020-12-28,"Wallonia","65-74","F","Pfizer-BioNTech","A",3
2020-12-28,"Wallonia","65-74","M","Pfizer-BioNTech","A",9
2020-12-28,"Wallonia","75-84","F","Pfizer-BioNTech","A",11
2020-12-28,"Wallonia","75-84","M","Pfizer-BioNTech","A",1
2020-12-28,"Wallonia","85+","F","Pfizer-BioNTech","A",15
2020-12-28,"Wallonia","85+","M","Pfizer-BioNTech","A",5
2020-12-29,"Flanders","18-34","F","Johnson&Johnson","C",1
2020-12-29,"Flanders","18-34","F","Moderna","A",1
2020-12-29,"Flanders","18-34","F","Pfizer-BioNTech","A",1
2020-12-29,"Flanders","18-34","M","Johnson&Johnson","C",3
2020-12-29,"Flanders","18-34","M","Pfizer-BioNTech","A",1
2020-12-29,"Flanders","35-44","F","Johnson&Johnson","C",2
2020-12-29,"Flanders","35-44","M","Johnson&Johnson","C",1
2020-12-29,"Flanders","35-44","M","Pfizer-BioNTech","A",1
2020-12-29,"Flanders","45-54","M","Johnson&Johnson","C",2
2020-12-29,"Flanders","55-64","F","Johnson&Johnson","C",1
2020-12-29,"Flanders","55-64","F","Pfizer-BioNTech","A",1
2020-12-29,"Flanders","65-74","M","Pfizer-BioNTech","A",1
2020-12-29,NA,"55-64","M","Pfizer-BioNTech","A",2
2020-12-29,"Wallonia","18-34","M","Pfizer-BioNTech","A",1
2020-12-30,"Brussels","18-34","F","Pfizer-BioNTech","A",1
2020-12-30,"Brussels","75-84","F","Pfizer-BioNTech","A",1
2020-12-30,"Brussels","85+","F","Pfizer-BioNTech","A",3
2020-12-30,"Flanders","18-34","F","Moderna","A",1
2020-12-30,"Flanders","18-34","F","Pfizer-BioNTech","A",20
2020-12-30,"Flanders","18-34","M","Johnson&Johnson","C",1
2020-12-30,"Flanders","18-34","M","Pfizer-BioNTech","A",7
2020-12-30,"Flanders","35-44","F","Johnson&Johnson","C",1
2020-12-30,"Flanders","35-44","F","Pfizer-BioNTech","A",15
2020-12-30,"Flanders","35-44","M","Johnson&Johnson","C",2
2020-12-30,"Flanders","35-44","M","Pfizer-BioNTech","A",5
2020-12-30,"Flanders","45-54","F","Johnson&Johnson","C",1
2020-12-30,"Flanders","45-54","F","Pfizer-BioNTech","A",18
2020-12-30,"Flanders","45-54","M","Johnson&Johnson","C",1
2020-12-30,"Flanders","45-54","M","Pfizer-BioNTech","A",6
2020-12-30,"Flanders","55-64","F","Johnson&Johnson","C",2
